dvit_id,grin_acc,grin_name,taxonomy,origin,passQC,vivc_match,match_score,match_via
DVIT_2727,DVIT 2727,Darklight,Vitis hybr.,"Florida, United States",True,DELIGHT,75.0,prime name
DVIT_2811,DVIT 2811,Olmo j18-171,Vitis hybr.,"California, United States",True,,0.0,
DVIT_2836,DVIT 2836,Olmo 16-147,Vitis hybr.,"California, United States",True,DALMASSO 16-14,72.0,prime name
DVIT_3295,DVIT 3295,I 31/67,Vitis hybr.,Bulgaria,True,,0.0,
DVIT_3305,DVIT 3305,II 70/21,Vitis hybr.,Moldova,True,,0.0,
DVIT_546,DVIT 546,DVIT 546,Vitis vinifera L. subsp. vinifera ,nan,True,,0.0,
DVIT_667,DVIT 667,Boal Doce,Vitis vinifera L. subsp. vinifera ,"California, United States",True,BOAL BRANCO,100.0,synonym (BOAL DOCE)
DVIT_674,DVIT 674,Burger,Vitis vinifera L. subsp. vinifera ,"California, United States",True,MONBADON,100.0,synonym (BURGER)
DVIT_788,DVIT 788,LADIKINAH,Vitis vinifera L. subsp. vinifera ,Greece,True,LADIKINO,100.0,synonym (LADIKINAH)
DVIT_8192,DVIT 8192,Verdejo,Vitis vinifera L. subsp. vinifera ,"California, United States",True,VERDEJO BLANCO,100.0,synonym (VERDEJO)
DVIT_8209,DVIT 8209,Madrasi,Vitis vinifera L. subsp. vinifera ,nan,True,MATRASSA,85.71428571428572,synonym (MADRASA)
DVIT_8215,DVIT 8215,Sirvan Sahi,Vitis vinifera L. subsp. vinifera ,nan,True,SHIRVAN SHAKHI,100.0,synonym (SIRVAN SAHI)
DVIT_917,DVIT 917,Pinot St. George,Vitis vinifera L. subsp. vinifera ,"California, United States",True,NEGRETTE,100.0,synonym (PINOT ST. GEORGE)
DVIT_930,DVIT 930,Refosco,Vitis vinifera L. subsp. vinifera ,"California, United States",True,TERRANO,100.0,synonym (REFOSCO)
DVIT_936,DVIT 936,Rousseau,Vitis vinifera L. subsp. vinifera ,"California, United States",True,PINOT BLANC,100.0,synonym (ROUSSEAU)
DVIT_984,DVIT 984,Tinta cao,Vitis vinifera L. subsp. vinifera ,"California, United States",True,PADEIRO,88.88888888888889,synonym (TINTO CAO)
