GRIN_accessionID,GRIN_ACCESSION,GRIN_PLANT_NAME,GRIN_TAXONOMY,GRIN_GENEBANK,GRIN_ORIGIN,GRIN_DbID,passQC,missingness_rate,Vv_ancestry_pct,NA1_ancestry_pct,NA2_ancestry_pct,Mus_ancestry_pct,EA_ancestry_pct,vivc_prime_name,vivc_number,vivc_country_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,vivc_pedigree_confirmed,match_methods,n_confirming_methods,origin_crossval,species_crossval,ambiguous_flag
PI_594336,PI 594336,Seibel 29,Vitis hybr.,GEN,France,1005553.0,True,0.1,50.8,22.2,27.0,0.0,0.0,SEIBEL 29,10866,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,MUNSON,VITIS VINIFERA LINNE SUBSP. SATIVA (DE CANDOLLE) HEGI,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597101,PI 597101,Bath,Vitis hybr.,GEN,"New York, United States",1002874.0,True,0.09,50.3,0.0,49.7,0.0,0.0,BATH,1033,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,FREDONIA,NEW YORK 10805,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597116,PI 597116,Merrimac,Vitis hybr.,GEN,"Massachusetts, United States",1004116.0,True,0.08,50.2,0.6,49.2,0.0,0.0,MERRIMAC,7659,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,CARTER,SCHIAVA GROSSA,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597129,PI 597129,Ripley,Vitis hybr.,GEN,"New York, United States",1004735.0,True,0.1,49.4,0.0,50.6,0.0,0.0,RIPLEY,10107,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,WINCHELL,DIAMOND,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597128,PI 597128,Bell,Vitis hybr.,GEN,"Texas, United States",1004711.0,True,0.08,50.3,33.3,16.5,0.0,0.0,BELL,1103,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,ELVIRA,DELAWARE,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597127,PI 597127,Eumelan,Vitis hybr.,GEN,"New York, United States",1004706.0,True,0.11,39.7,0.0,60.3,0.0,0.0,EUMELAN,4002,UNITED STATES OF AMERICA,VITIS LABRUSCA LINNÉ,NOIR,ISABELLA,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597126,PI 597126,Lindley,Vitis hybr.,GEN,"Massachusetts, United States",1004695.0,True,0.14,0.0,22.2,77.8,0.0,0.0,LINDLEY,6845,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,CARTER,CHASSELAS BLANC,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597124,PI 597124,Downing,Vitis hybr.,GEN,"New York, United States",1004660.0,True,0.1,42.4,23.6,33.8,0.0,0.1,DOWNING,3678,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,UNKNOWN,MUSCAT HAMBURG,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597123,PI 597123,Eden,Vitis hybr.,GEN,"New York, United States",1004637.0,True,0.09,42.0,35.7,22.3,0.0,0.0,EDEN,3825,UNITED STATES OF AMERICA,MUSCADINIA ROTUNDIFOLIA MICHAUX VAR. ROTUNDIFOLIA,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,True
PI_597122,PI 597122,Wayne,Vitis hybr.,GEN,"New York, United States",1004596.0,True,0.11,56.5,6.6,36.9,0.0,0.0,WAYNE,13210,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,MILLS,ONTARIO,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
