child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
DONZELINHO TINTO,GOUVEIO,Parent 1,SNP,SNP,231,73.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=73.5
DONZELINHO TINTO,CAINHO DA TERRA,Parent 2,SNP,SNP,231,73.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=73.5
LOURELA,HEBIEN,Parent 1,SNP,SNP,231,62.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=62.7
LOURELA,CAINHO DA TERRA,Parent 2,SNP,SNP,231,62.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=62.7
LUSITANO,CASTELAO,Parent 1,SNP,SNP,231,62,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=62
LUSITANO,ALICANTE HENRI BOUSCHET,Parent 2,SNP,SNP,231,62,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=62
MALVASIA BRANCA DE SAO JORGE,VITAL,Parent 1,SNP,SNP,231,84.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=84.7
MALVASIA BRANCA DE SAO JORGE,UVA CAO,Parent 2,SNP,SNP,231,84.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=84.7
TRIGUEIRA,NAPARO,Parent 1,SNP,SNP,231,76.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=76.1
TRIGUEIRA,TROUSSEAU NOIR,Parent 2,SNP,SNP,231,76.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=76.1
MELRA,MARUFO,Parent 1,SNP,SNP,231,57.2,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=57.2
MELRA,TOURIGA NACIONAL,Parent 2,SNP,SNP,231,57.2,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=57.2
MOLAR,SAVAGNIN,Parent 1,SNP,SNP,231,56.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=56.9
MOLAR,PRIETO PICUDO TINTO,Parent 2,SNP,SNP,231,56.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=56.9
MOSCATEL GALEGO TINTO,MUSCAT A PETITS GRAINS,Parent 1,SNP,SNP,231,56.4,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=56.4
MOSCATEL GALEGO TINTO,ALVARELHAO,Parent 2,SNP,SNP,231,56.4,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=56.4
MOSCARGO,CASTELAO,Parent 1,SNP,SNP,231,75.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=75.9
