alias,canonical_vivc_name,source,match_score
ARGANT,GAENSFUESSER BLAU,synonym (ARGANT),100.0
HASSAINE,KHUSAINE KADU,synonym (HASSAINE),100.0
ZWEIGELT-REBE,ZWEIGELTREBE BLAU,synonym (ZWEIGELTREBE),96.0
CORNICHON,OLIVETTE NOIRE,synonym (CORNICHON),100.0
MUSCAT BOWOOD,MUSCAT OF ALEXANDRIA,synonym (BOWOOD MUSCAT),100.0
PAIS,LISTAN PRIETO,synonym (PAIS),100.0
WHITE TOKAY,MUSCAT OF ALEXANDRIA,synonym (WHITE TOKAY),100.0
BUAKI,CHASSELAS BLANC,synonym (BUAKI),100.0
SLANKAMENKA,SLANKAMENKA BELA,synonym (SLANKAMENKA),100.0
GLENFELD,CONCORD WHITE,synonym (GLENFELD),100.0
TOURIGA,TOURIGA NACIONAL,synonym (TOURIGA),100.0
STEIN,CHENIN BLANC,synonym (STEIN),100.0
BASTARDO,MOLAR,synonym (BASTARDO),100.0
MUSCAT BLANC,MUSCAT A PETITS GRAINS BLANCS,synonym (MUSCAT BLANC),100.0
WALTHAM CROSS,AFUS ALI,synonym (WALTHAM CROSS),100.0
CHAOUCH,TSAOUSSI,synonym (CHAOUCH),100.0
SULTANINA ROSE,KISHMISH ROZOVYI,synonym (SULTANINA ROSE),100.0
FLAME TOKAY,AHMEUR BOU AHMEUR,synonym (FLAME TOKAY),100.0
FEHER SZAGOS,EZERJO,synonym (FEHER SZAGOS),100.0
MEZES,HONIGLER,synonym (MEZES),100.0
MUSCADELLE DE BORDELAIS,MUSCADELLE,synonym (MUSCADELLE DE BORDELAIS),100.0
PETITE BOUSCHET,BOUSCHET PETIT,prime name,96.55172413793105
PROSECCO TONDO,GLERA,synonym (PROSECCO TONDO),100.0
SEYVE VILLARD 12375,VILLARD BLANC,synonym (12375 SEYVE VILLARD),100.0
COUDERC 299-35,MUSCAT DU MOULIN,synonym (299-35 COUDERC),100.0
OBERLIN 595,OBERLIN NOIR,synonym (595 OBERLIN),100.0
GUNGARGOON,HAITA,synonym (GUNGARGOON),100.0
GRUNER VELTLINGER,VELTLINER GRUEN,synonym (VELTLINER GRUNER),96.96969696969695
RED MALAGA,MOLINERA,synonym (MALAGA RED),100.0
CHARBONO,CORBEAU,synonym (CHARBONO),100.0
CHASSELAS DORE,CHASSELAS COULARD,synonym (CHASSELAS DORE),100.0
FRESIA,MALVASIA BIANCA LUNGA,synonym (FRESIA),100.0
GAMAY TEINTURIER,GAMAY TEINTURIER FREAUX,synonym (GAMAY TEINTURIER),100.0
MORTAGUA,TOURIGA NACIONAL,synonym (MORTAGUA),100.0
MAZADE,BERLANDIERI MAZADE,synonym (MAZADE),100.0
KISHMISH EARLY,NAOSE,synonym (KISHMISH EARLY),100.0
PERLE DE CSABA,CSABA GYOENGYE,synonym (PERLE DE CSABA),100.0
BAIDH UL HAMAN,BEIDH EL HAMMAN,synonym (BAIDH UL HAMAN),100.0
ENGLISH COLOSSAL,MONASTRELL,synonym (ENGLISH COLOSSAL),100.0
FOSTER'S SEEDLING,FOSTER'S WHITE SEEDLING,synonym (FOSTER'S SEEDLING),96.96969696969695
PERLA DI CSABA,CSABA GYOENGYE,synonym (PERLA DI CSABA),100.0
QUEEN OF THE VINEYARD,KOENIGIN DER WEINGAERTEN,synonym (QUEEN OF THE VINEYARD),100.0
ROSAKI,PARMAK CERVEN,synonym (ROSAKI),100.0
ROZOVII KISHMISH,KISHMISH ROZOVYI,synonym (ROZOVII KISHMISH),100.0
SCHIRADZOULI BLANC,TEBRIZI,synonym (SCHIRADZOULI BLANC),100.0
TOKAY,BLACK ALICANTE,synonym (TOKAY),100.0
CHAUCHE NOIR,TROUSSEAU NOIR,synonym (CHAUCHE NOIR),100.0
HISAKASY,GYULYABI BELYI,synonym (HISAKASY),100.0
MURETO,MALVASIA PRETA,synonym (MURETO),100.0
SAUVIGNON VERT,SAUVIGNON BLANC,synonym (SAUVIGNON VERT),100.0
CLAIRETTE DE LIMOUX,CLAIRETTE BLANCHE,synonym (CLAIRETTE DE LIMOUX),100.0
CLEVNER MARIAFELD,PINOT NOIR,synonym (CLEVNER MARIAFELD),100.0
GROS COLMAN,DODRELYABI,synonym (COLMAN GROS),100.0
GROS MAROC,MAROC GROS,prime name,100.0
BERZAMINA,MARZEMINO,synonym (BERZAMINA),100.0
BONVEDRO,PARRALETA,synonym (BONVEDRO),100.0
CARIGNANE,GARNACHA TINTA,synonym (CARIGNANE),100.0
CRUJIDERO,BEBA,synonym (CRUJIDERO),100.0
MONTANACCIO,SCIACCARELLO,synonym (MONTANACCIO),100.0
MUSCAT CANELLI,MUSCAT A PETITS GRAINS BLANCS,synonym (MUSCAT CANELLI),100.0
SYLVANER,SILVANER GRUEN,synonym (SYLVANER),100.0
WHEELER,CONCORD,synonym (WHEELER),100.0
MCADAMS,RIPARIA WICHITA,synonym (MCADAMS),100.0
RHAZAKI,AFUS ALI,synonym (RHAZAKI),100.0
DUC DE MALAKOFF,CHASSELAS BLANC (4N),synonym (DUC DE MALAKOFF),100.0
KANDAHAR,KANDAHARI SAFID,synonym (KANDAHAR),100.0
MUSCAT FLAME,MUSCAT OF ALEXANDRIA,synonym (MUSCAT FLAME),100.0
PRINCE OF WALES,PINCE'S BLACK,synonym (PRINCE OF WALES),100.0
SULTANA,SULTANINA,synonym (SULTANA),100.0
KLEINBERGER,HEUNISCH WEISS,synonym (KLEINBERGER),100.0
RIESLING ITALICO,WELSCHRIESLING,synonym (RIESLING ITALICO),100.0
TINTA CAIADA,PARRALETA,synonym (TINTA CAIADA),100.0
PALOMINO,PALOMINO FINO,synonym (PALOMINO),100.0
SPANNA,NEBBIOLO,synonym (SPANNA),100.0
TROUSSEAU,TROUSSEAU NOIR,synonym (TROUSSEAU),100.0
OPPENHEIM 4,SELEKTION OPPENHEIM 4,synonym (OPPENHEIM 4),100.0
HUSSEIVE,KHUSAINE BELYI,synonym (HUSSEIVE),100.0
BEQUIGNOL,FER,synonym (BEQUIGNOL),100.0
TERRA PROMESSA,NEHELESCOL,synonym (TERRA PROMESSA),100.0
PEARL OF ZOLA,ZALA GYOENGYE,synonym (PEARL OF ZOLA),100.0
HENAB,HENAB TURKI,synonym (HENAB),100.0
GAMAY ROND,GAMAY NOIR,synonym (GAMAY ROND),100.0
JOHANNISBURG RIESLING,RIESLING WEISS,synonym (JOHANNISBERG RIESLING),95.23809523809524
GLOIRE,RIPARIA GLOIRE DE MONTPELLIER,synonym (GLOIRE),100.0
HONGJIXIN,HONG JI XIN,synonym (HONGJIXIN),100.0
SEIBEL 14514,DATTIER PRECOCE DE SEIBEL,synonym (SEIBEL 14514),100.0
RANNY VIRA,RANNII VIRA,synonym (RANNY VIRA),100.0
HUNISA,HOENUESUE,synonym (HUNISA),100.0
LUGLIENGA,LUGLIENGA BIANCA,synonym (LUGLIENGA),100.0
FRENCH COLOMBARD,COLOMBARD,synonym (FRENCH COLOMBARD),100.0
NITODEL,NITODAL,synonym (NITODEL),100.0
TROLLINGER,SCHIAVA GROSSA,synonym (TROLLINGER),100.0
GAMAY FREUX,GAMAY TEINTURIER FREAUX,synonym (GAMAY FREAUX),95.65217391304348
CIPRO NERO,CYPERNTRAUBE,synonym (CIPRO NERO),100.0
CHENIN NOIR,PINEAU D'AUNIS,synonym (CHENIN NOIR),100.0
GRECO DI TUFO,GRECO BIANCO DI TUFO,synonym (GRECO DI TUFO),100.0
LIMBERGER,BLAUFRAENKISCH,synonym (LIMBERGER),100.0
MOURISCO,MOURISCO (NON IDENTIFIED),synonym (MOURISCO),100.0
PETITE SYRAH,SYRAH,synonym (PETITE SYRAH),100.0
TEINTURIER MALE,TEINTURIER,synonym (TEINTURIER MALE),100.0
SIEGFRIED,SIEGFRIEDREBE,synonym (SIEGFRIED),100.0
BLACK DAMASCUS,BLACK MOROCCO,synonym (BLACK DAMASCUS),100.0
BLAUE ELBE,ELBLING ROT,synonym (BLAUE ELBE),100.0
COLA TAMBURO,BOMBINO BIANCO,synonym (COLA TAMBURO),100.0
MUSCADELLE DU BORDELAIS,MALVASIA AROMATICA DI PARMA,synonym (MUSCADELLE DU BORDELAIS),100.0
PINOT FIN,PINOT NOIR,synonym (PINOT FIN),100.0
CHARDONNAY MUSQUE,CHARDONNAY BLANC MUSQUE,synonym (CHARDONNAY MUSQUE),100.0
BLAUER FRUHEBURGUNDER,PINOT PRECOCE NOIR,synonym (BLAUER FRUEHBURGUNDER),95.23809523809524
DORADILLO,PALOMINO FINO,synonym (DORADILLO),100.0
BURGRAVE,BURGRAVE DE HONGRIE,synonym (BURGRAVE),100.0
MORESCONO,NIEDDU MANNU,synonym (MORESCONO),100.0
MONDEUSE,MONDEUSE NOIRE,synonym (MONDEUSE),100.0
MOSCATO BIANCO,MUSCAT A PETITS GRAINS BLANCS,synonym (MOSCATO BIANCO),100.0
BACCHUS,CLINTON,synonym (BACCHUS),100.0
CHASSELAS MICHEL TOMPA,TOMPA MIHALY,synonym (CHASSELAS MICHEL TOMPA),100.0
MAGLIASINA,HARTFORD,synonym (MAGLIASINA),100.0
101-14 MGT,MILLARDET ET GRASSET  101- 14,synonym (101-14 MGT),100.0
MOSCATEL GALEGO,MOSCATEL GALEGO TINTO,synonym (MOSCATEL GALEGO),100.0
SOUZAO,DONZELINHO TINTO,synonym (SOUZAO),100.0
BLACK SPANISH,BLACK ALICANTE,synonym (BLACK SPANISH),100.0
HIMRISNKY,GRACIANO,synonym (HIMRISNKY),100.0
KORENTE,CAPE CURRANT,synonym (KORENTE),100.0
HUMAGNE,HUMAGNE BLANCHE,synonym (HUMAGNE),100.0
JOAO SANTAREM,CASTELAO,synonym (JOAO SANTAREM),100.0
MAVRODAPHNE,MAVRODAPHNI,synonym (MAVRODAPHNE),100.0
PROSECCO LUNGO,BELA DINKA,synonym (PROSECCO LUNGO),100.0
