child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
GENOTYPE 21,SEYANETS S 484,Parent 2,SSR,SSR,24.0,38.7583731401879,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 45,SAPERAVI,Parent 1,SSR,SSR,24.0,51.3896055617136,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 45,VOSKEAT,Parent 2,SSR,SSR,24.0,51.3896055617136,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 47,ANGUR KALAN,Parent 1,SSR,SSR,24.0,34.0708037055052,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 47,MUSCAT HAMBURG,Parent 2,SSR,SSR,24.0,34.0708037055052,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 61,KARMRAHYUT,Parent 1,SSR,SSR,24.0,51.0790179842786,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 61,SEYANETS S 1262,Parent 2,SSR,SSR,24.0,51.0790179842786,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 64,KARMRAHYUT,Parent 1,SSR,SSR,24.0,57.6952143427421,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 64,SEYANETS 1563/1+21,Parent 2,SSR,SSR,24.0,57.6952143427421,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 65,KARMRAHYUT,Parent 1,SSR,SSR,24.0,51.1584830976318,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 65,SEYANETS 1563/1+21,Parent 2,SSR,SSR,24.0,51.1584830976318,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 72,MADELEINE ANGEVINE,Parent 1,SSR,SSR,24.0,44.829806667231,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 72,PARKENT,Parent 2,SSR,SSR,24.0,44.829806667231,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 99,AGHAVNADZORI MUG VARDAGUYN,Parent 1,SSR,SSR,24.0,30.980259302085,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
