child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
MOSCATO D'ADDA,MUSCAT OF ALEXANDRIA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9941; informative_loci=4566; exclusions=27; accession_child=4560195190_L; accession_parent=4560195182_G
MUSCAT HAMBURG,MUSCAT OF ALEXANDRIA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9314; informative_loci=4590; exclusions=315; accession_child=4560195016_G; accession_parent=4560195182_G
NETTER,DABOUKI,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9934; informative_loci=4540; exclusions=30; accession_child=4560195220_I; accession_parent=4560195053_G
NETTER,MUSCAT HAMBURG,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9594; informative_loci=4167; exclusions=169; accession_child=4560195220_I; accession_parent=4560195016_G
OPALE,MUSCAT OF ALEXANDRIA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9950; informative_loci=4003; exclusions=20; accession_child=4560195131_F; accession_parent=4560195182_G
ORTEGA,SIEGERREBE,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9949; informative_loci=4490; exclusions=23; accession_child=4560195140_F; accession_parent=4560195001_G
PERLE,GEWUERZTRAMINER,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9953; informative_loci=4249; exclusions=20; accession_child=4560195020_L; accession_parent=4560195102_H
PINOT NOIR,SAVAGNIN BLANC,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9972; informative_loci=4265; exclusions=12; accession_child=4560195100_J; accession_parent=4560195144_H
PIROVANO 5,MUSCAT HAMBURG,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9260; informative_loci=4241; exclusions=314; accession_child=4560195052_A; accession_parent=4560195016_G
PRIMIERA,DELIZIA DI VAPRIO,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9942; informative_loci=4496; exclusions=26; accession_child=4560195121_I; accession_parent=4560195093_H
QUEEN,MUSCAT HAMBURG,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9635; informative_loci=4298; exclusions=157; accession_child=4560195096_H; accession_parent=4560195016_G
RIZAMAT,KATTA KURGAN,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9979; informative_loci=4368; exclusions=9; accession_child=4560195079_H; accession_parent=4560195159_K
ROYALTY,ALICANTE GANZIN,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9880; informative_loci=4507; exclusions=54; accession_child=4560195002_H; accession_parent=4560195013_H
RUBIRED,ALICANTE GANZIN,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9905; informative_loci=4510; exclusions=43; accession_child=4560195134_G; accession_parent=4560195013_H
RUBY CABERNET,CABERNET SAUVIGNON,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9942; informative_loci=4476; exclusions=26; accession_child=4560195158_L; accession_parent=4560195159_A
RUBY SEEDLESS,EMPEROR,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9387; informative_loci=4614; exclusions=283; accession_child=4560195144_B; accession_parent=4560195010_G
RUBY SEEDLESS,SULTANA MOSCATA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9949; informative_loci=4538; exclusions=23; accession_child=4560195144_B; accession_parent=4560195170_L
SAUVIGNON BLANC,SAVAGNIN BLANC,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9932; informative_loci=4240; exclusions=29; accession_child=4560195143_H; accession_parent=4560195144_H
SCHOENBURGER,PINOT NOIR,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9976; informative_loci=4134; exclusions=10; accession_child=4560195183_K; accession_parent=4560195100_J
SIEGERREBE,GEWUERZTRAMINER,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9939; informative_loci=4237; exclusions=26; accession_child=4560195001_G; accession_parent=4560195102_H
SOVRANA,DELIZIA DI VAPRIO,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9942; informative_loci=4337; exclusions=25; accession_child=4560195165_L; accession_parent=4560195093_H
SULTANA MOSCATA,MUSCAT OF ALEXANDRIA,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9972; informative_loci=4587; exclusions=13; accession_child=4560195170_L; accession_parent=4560195182_G
TAMINGA,GEWUERZTRAMINER,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9932; informative_loci=4234; exclusions=29; accession_child=4560195019_D; accession_parent=4560195102_H
TEINTURIER,SAVAGNIN BLANC,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9925; informative_loci=4253; exclusions=32; accession_child=4560195144_A; accession_parent=4560195144_H
THOMUSCAT,MUSCAT OF ALEXANDRIA,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9947; informative_loci=4523; exclusions=24; accession_child=4560195170_I; accession_parent=4560195182_G
TRIESTE,MOSCATO D'ADDA,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9932; informative_loci=4428; exclusions=30; accession_child=4560195172_C; accession_parent=4560195190_L
VICTOR,SICILIEN,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9440; informative_loci=4571; exclusions=256; accession_child=4560195202_C; accession_parent=4560195078_K
VICTOR,MOSCATO D'ADDA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9611; informative_loci=4494; exclusions=175; accession_child=4560195202_C; accession_parent=4560195190_L
VRANAC,PRIMITIVO,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9393; informative_loci=4429; exclusions=269; accession_child=4560195005_C; accession_parent=4560195015_K
FLORA,SEMILLON,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9954; informative_loci=3882; exclusions=18; accession_child=4560195137_B; accession_parent=4560195084_J
FLORA,GEWUERZTRAMINER,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9959; informative_loci=3629; exclusions=15; accession_child=4560195137_B; accession_parent=4560195102_H
ROMANINA,MUSCAT OF ALEXANDRIA,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9450; informative_loci=4092; exclusions=225; accession_child=4560195028_A; accession_parent=4560195182_G
HELENA,RUBY SEEDLESS,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9338; informative_loci=4458; exclusions=295; accession_child=4560195092_L; accession_parent=4560195144_B
TRIPLETT 30- 47,RUBY CABERNET,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9183; informative_loci=4531; exclusions=370; accession_child=4560195147_B; accession_parent=4560195158_L
TRIPLETT 30- 47,CALZIN,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9317; informative_loci=4379; exclusions=299; accession_child=4560195147_B; accession_parent=4560195159_C
