child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
KONCANKA,PARMAK CERVEN,,SNP (Vitis18K),SNP,223,32.51,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 223, mismatches: 0; direction not specified (duo)"
LISZTES FEHER,VELTLINAC ZELENI SRB,,SNP (Vitis18K),SNP,220,30.58,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 220, mismatches: 0; direction not specified (duo)"
PAPASKARASI,KADARKA KEK,,SNP (Vitis18K) + SSR,SNP+SSR,149,34.76,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 149, mismatches: 0; SSRs: 9, mismatches: 0; Previously: This work; direction not specified (duo)"
PROSIP CRNI,COARNA ALBA,,SNP (Vitis18K),SNP,213,29.95,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 213, mismatches: 0; direction not specified (duo)"
PURCSIN,NEGRU DE CAUSANI,,SNP (Vitis18K),SNP,134,29.92,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 134, mismatches: 0; direction not specified (duo)"
RUZA BIJELA,COARNA ALBA,,SNP (Vitis18K) + SSR,SNP+SSR,204,26.51,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 204, mismatches: 1; SSRs: 9, mismatches: 0; Previously: This work; direction not specified (duo)"
RUZA BIJELA,KREACA,,SNP (Vitis18K) + SSR,SNP+SSR,204,29.15,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 204, mismatches: 0; SSRs: 9, mismatches: 1; Previously: This work; direction not specified (duo)"
SEDUCHA,KADARKA KEK,,SNP (Vitis18K) + SSR,SNP+SSR,210,45.13,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 210, mismatches: 0; SSRs: 9, mismatches: 0; Previously: This work; direction not specified (duo)"
ZACINAK,PAPASKARASI,,SNP (Vitis18K) + SSR,SNP+SSR,130,32.16,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 130, mismatches: 0; SSRs: 9, mismatches: 1; Previously: This work; direction not specified (duo)"
ZUNIC,VULPEA,,SNP (Vitis18K) + SSR,SNP+SSR,220,27.14,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 220, mismatches: 0; SSRs: 9, mismatches: 0; Previously: This work; direction not specified (duo)"
