child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
Tinta Madeira,Savagnin blanc,,SNP (10K genome-wide),SNP,10206,1170,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1170; mismatches=0/10206; KING kinship=0.1957; IBS0=3; Previously: Lacombe et al. 2013
Savagnin blanc,Tinta Madeira,,SNP (10K genome-wide),SNP,10206,1170,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1170; mismatches=0/10206; KING kinship=0.1957; IBS0=3; Previously: Lacombe et al. 2013
Torrontés riojano,Muscat d'Alexandrie,,SNP (10K genome-wide),SNP,10190,954,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=954; mismatches=3/10190; KING kinship=0.2534; IBS0=3; Previously: Milla Tapia et al. 2007&Lacombe et al. 2013
Muscat d'Alexandrie,Torrontés riojano,,SNP (10K genome-wide),SNP,10190,954,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=954; mismatches=3/10190; KING kinship=0.2534; IBS0=3; Previously: Milla Tapia et al. 2007&Lacombe et al. 2013
Tortozón,Albillo de Granada,,SNP (10K genome-wide),SNP,10206,1399,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1399; mismatches=1/10206; KING kinship=0.2404; IBS0=3
Tortozón,Albillo de Albacete,,SNP (10K genome-wide),SNP,10207,1464,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1464; mismatches=1/10207; KING kinship=0.2659; IBS0=3
Albillo de Albacete,Tortozón,,SNP (10K genome-wide),SNP,10207,1464,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1464; mismatches=1/10207; KING kinship=0.2659; IBS0=3
Tortozón,Pardilla,,SNP (10K genome-wide),SNP,10133,1338,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1338; mismatches=0/10133; KING kinship=0.2524; IBS0=3; Previously: Lacombe et al. 2013
Pardilla,Tortozón,,SNP (10K genome-wide),SNP,10133,1338,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1338; mismatches=0/10133; KING kinship=0.2524; IBS0=3; Previously: Lacombe et al. 2013
Tortozón,Alarije,,SNP (10K genome-wide),SNP,10197,1372,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1372; mismatches=0/10197; KING kinship=0.2607; IBS0=3; Previously: Lacombe et al. 2013
Alarije,Tortozón,,SNP (10K genome-wide),SNP,10197,1372,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1372; mismatches=0/10197; KING kinship=0.2607; IBS0=3; Previously: Lacombe et al. 2013
Tortozón,Malvar,,SNP (10K genome-wide),SNP,10201,1478,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1478; mismatches=0/10201; KING kinship=0.251; IBS0=3; Previously: Lacombe et al. 2013
Malvar,Tortozón,,SNP (10K genome-wide),SNP,10201,1478,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1478; mismatches=0/10201; KING kinship=0.251; IBS0=3; Previously: Lacombe et al. 2013
Tortozón,Rojal negro,,SNP (10K genome-wide),SNP,10207,1625,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1625; mismatches=0/10207; KING kinship=0.2686; IBS0=3
Rojal negro,Tortozón,,SNP (10K genome-wide),SNP,10207,1625,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1625; mismatches=0/10207; KING kinship=0.2686; IBS0=3
Totika,Bajor kék,,SNP (10K genome-wide),SNP,10145,1596,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1596; mismatches=2/10145; KING kinship=0.2227; IBS0=3; Previously: Lacombe et al. 2013
Bajor kék,Totika,,SNP (10K genome-wide),SNP,10145,1596,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1596; mismatches=2/10145; KING kinship=0.2227; IBS0=3; Previously: Lacombe et al. 2013
Totika,Kadarka,,SNP (10K genome-wide),SNP,10200,1754,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1754; mismatches=0/10200; KING kinship=0.2447; IBS0=3; Previously: Lacombe et al. 2013
Kadarka,Totika,,SNP (10K genome-wide),SNP,10200,1754,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1754; mismatches=0/10200; KING kinship=0.2447; IBS0=3; Previously: Lacombe et al. 2013
Touriga franca,Touriga nacional,,SNP (10K genome-wide),SNP,10200,1452,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1452; mismatches=1/10200; KING kinship=0.2302; IBS0=3; Previously: Lacombe et al. 2013
Touriga nacional,Touriga franca,,SNP (10K genome-wide),SNP,10200,1452,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1452; mismatches=1/10200; KING kinship=0.2302; IBS0=3; Previously: Lacombe et al. 2013
Touriga nacional,Tinta Barroca,,SNP (10K genome-wide),SNP,10158,1227,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1227; mismatches=0/10158; KING kinship=0.2469; IBS0=3; Previously: Lacombe et al. 2013
Tinta Barroca,Touriga nacional,,SNP (10K genome-wide),SNP,10158,1227,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1227; mismatches=0/10158; KING kinship=0.2469; IBS0=3; Previously: Lacombe et al. 2013
