child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
PERLETTE,SULTANINA BIANCA,Parent 2,SSR,SSR,33,4.760e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Ibáñez et al 2009; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=1
PLAVINA,PRIMITIVO,Parent 1,SSR,SSR,10,3.480e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported also in Lacombe et al 2007; Cipriani 2010 TAG 121:1569; 10 SSR loci; mismatches=2
PLAVINA,VERDECA,Parent 2,SSR,SSR,10,3.480e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported also in Lacombe et al 2007; Cipriani 2010 TAG 121:1569; 10 SSR loci; mismatches=2
QUEEN,SULTANINA,Parent 1,SSR,SSR,31,3.610e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=3
QUEEN,MOSCATO D'AMBURGO,Parent 2,SSR,SSR,31,3.610e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=3
SENNEN,TEROLDEGO,Parent 1,SSR,SSR,33,2.600e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported as 'Merlot x Marzemino gentile' and revised in Roncador et al 2002; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=2
SENNEN,MERLOT,Parent 2,SSR,SSR,33,2.600e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported as 'Merlot x Marzemino gentile' and revised in Roncador et al 2002; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=2
VICTORIA,DATTIER DE BEYROUTH,Parent 1,SSR,SSR,31,3.420e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
VICTORIA,CARDINAL,Parent 2,SSR,SSR,31,3.420e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
VITOUSKA,PROSECCO,Parent 1,SSR,SSR,31,3.090e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Crespan et al 2007; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=0
