vivc_prime_name,vivc_no,vivc_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,in_passport,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,n_sources,name_in_marker_support,name_in_vivc_confirmed,name_in_constantini_2026,name_in_myles_2011,name_in_lacombe_2013,name_in_oliveira_2020,name_in_lac_emanuelli_2020,name_in_laucou_2018,name_in_liang_2019,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id,grin_match_methods,is_alias,aliases,in_alias_map,passport_candidate
DABOUKI,3309,ISRAEL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,True,False,True,True,False,True,True,False,False,True,False,False,True,False,True,9,,,,,,,,,,,Dabouki,DVIT_1982,M1_exact|M3_umlaut|M4_hybrid_spacing,True,COUDSI,True,
EMPEROR,3904,UNITED STATES OF AMERICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROUGE,?,BEBA,True,False,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,9,,,,,,,,,,,Emperor,DVIT_396,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
ICHKIMAR,5477,UZBEKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROUGE,,,True,False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,True,9,,,,,,,,,,,Itchkimar,DVIT_2677,M5_fuzzy(r=0.941),False,,False,
KADARKA KEK,5898,HUNGARY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,True,9,,KADARKA,,,,,,KADARKA,KADARKA,,Kadarka,DVIT_768,M2_alias,True,KADARKA,True,
MONDEUSE BLANCHE,7919,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False,9,,,,,,,,,,,,,,False,,False,
MUSCAT OTTONEL,8243,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,INGRAM'S MUSCAT,CHASSELAS BLANC,True,False,True,True,False,True,False,True,True,False,False,True,False,False,True,False,True,9,,,,,,,,,,,Muscat Ottonel,DVIT_8115,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
OHANES,8716,SPAIN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,True,False,True,True,False,True,True,False,False,True,False,False,True,False,True,9,,,,,,,,,,,Ohanes,DVIT_478,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
PRIMITIVO,9703,BALKAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,True,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,9,ZINFANDEL,ZINFANDEL,,,,,,,,,Zinfandel,DVIT_1320,M2_alias,True,CRLJENAK KASTELANSKI; PRIMITIF; TRIBIDRAG; ZINFANDEL,True,
SCHIAVA GROSSA,10823,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True,9,,TROLLINGER,,,,,,,,,Schiava Grossa,DVIT_3679,M1_exact|M3_umlaut|M4_hybrid_spacing,True,BLACK PRINCE; TROLLINGER,True,
TEINTURIER,12304,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,?,SAVAGNIN BLANC,True,False,True,False,True,True,False,True,True,False,True,True,False,False,False,False,True,9,,,,,,,,,,,Teinturier,DVIT_975,M1_exact|M3_umlaut|M4_hybrid_spacing,True,TEINTURIER MALE,True,
