vivc_prime_name,n_sources,passport_candidate,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,name_in_lacombe_2013,name_in_laucou_2018,name_in_lac_emanuelli_2020,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id
CORNET = BAUDE,3,CORNET NOIR,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
COURBU,3,COURBU NOIR,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CÉSAR,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
FURJMONY FEHER,3,LISZTES FEHER,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
GIBI = HEBÉN,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
GOHER,3,GOHER PIROS,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
GORDIN = ALIMCHAK,3,GORDIN VERDE,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
GOUAIS BLANC = HEUNISCH WEISS,3,HEUNISCH WEISS SEEDLESS,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,
GRAND NOIR DE LA CALMETTE,3,GRAND NOIR,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
GRENACHE = GARNACHA,3,GRENACHE NOIR A FLEURS FEMELLES,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
GROS VERT,3,GROS VERT NOIR,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
HOUSSEIN ROUGE,3,ALIGOTE ROUGE,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
HUBBARD,3,HUBBARD SEEDLESS,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,,,,,
HUEVO DE GATO NEGRO,3,HUEVO DE GATO,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ICOD DE LOS VINOS,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
IRSAY OLIVER,3,IRSAI OLIVER,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,,,,,,
ITALIA = PIROVANO 65,3,ITALIA RUBI,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
KALECIK SIYAHI,3,KALECIK KARASI,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
KATTA-KOURGAN,3,,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
KEKHLIBAR,3,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
KHOUSSAÏNÉ BLANC,3,TEOULIER BLANC FEMELLE,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
KIZIL YAKDONA,3,KIZIL BOZ,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
KOKOUR BELY,3,CROUSHEVSKI BELY,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
KOUTSOUMBELI ASPRO,3,KOUTSOUMBELI,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
KÖVIDINKA,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
LADIKINO = PSAROSSYRIKO,3,LADIKINO,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,,,,,,
LIMBERGER = BLAUFRÄNKISCH,3,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
LISTAN = PALOMINO FINO,3,PALOMINO FINO,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
MACABEU,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
MALVASIA DI SARDEGNA,3,MALVASIA DI SARDEGNA ROSADA,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
MAYORQUIN = FARANA,3,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
MISGULI KARA,3,BOSAR KARA,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
MOSCATEL DE HAMBURGO,3,MOSCATEL DE HAMBURGO BRANCO,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,,,,,
MOSCATEL DE OEIRAS,3,MOSCATEL DE OEIRAS FAUX (COLLECTION BORDEAUX),False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,,,,,,
MUSCAT DE HAMBOURG,3,MUSCAT ERLOG ALTARIA,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
MUSCAT VIRA,3,MUSCAT ERLOG ALTARIA,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,,,,,,
NEGRA MOLE = MOLLAR,3,NEGRA MOLE TREPADEIRA,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
NÉGRET CASTRAIS,3,NEGRET CASTRAIS,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
ORLOVI NOKTI,3,ORLOVI NOKTI BELI,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
PASCAL,3,PASCAL BLANC,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
PETIT COURBU,3,COURBU PETIT,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
PETIT MESLIER,3,MESLIER PETIT,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
POULSARD,3,POULSARD ROSE,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
PRIETO PICUDO,3,PRIETO PICUDO TINTO,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
RAZACHIE ROSIE,3,RAZACHIE ALBA,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
REINE DES VIGNES,3,A LA REINE,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,,,,,,
RHODITIS,3,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ROYAL,3,ROYALNY,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
SAINT-LAURENT,3,,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
SAUVIGNON,3,SAUVIGNON GRYN,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
SOROK LET OKTIABRIA,3,SOROK LYET OKTYABRYA,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
TASCHLY,3,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
TERRET,3,TERRET NOIR,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
TINTA GROSSA D'ALENTEJO,3,GARNACHA TINTA,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
TOLSTOKORII,3,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
TZIMLIANSKY BELYI,3,STOLOVYI BELYI 6,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
URBAN BLAU = SCHIAVA GENTILE,3,SCHIAVA GENTILE,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,,,,,,
VALENCI BLANCO = BEBA,3,VALENCI TINTO,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
VASSARGA TCHERNAIA,3,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
VELTELINER ROUGE,3,ALIGOTE ROUGE,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
VERICO,3,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
1202 COUDERC,2,COUDERC 1202,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
140 RUGGERI,2,RUGGERI 225,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
ADISSI,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
AG ISIOUM,2,KARA ISIOUM,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
AK CHEKEREK,2,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ALARIJE = SUBIRAT PARENT,2,ALARIJE,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ALCAÑON,2,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
ALICANTE BOUSCHET,2,ALICANTE BOUSCHET 1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
ALICANTE BRANCO TYPE 2,2,ALICANTE BOUSCHET A LONGUES GRAPPES,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ALICANTÍ,2,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
ALIGOTÉ,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
