child,parent1,parent2,vivc_number,vivc_color,vivc_species,vivc_pedigree_confirmed_markers,child_Vv_pct,child_NA1_pct,child_NA2_pct,child_Mus_pct,child_EA_pct,child_passQC,p1_Vv_pct,p1_NA1_pct,p1_NA2_pct,p1_Mus_pct,p1_EA_pct,p1_passQC,p2_Vv_pct,p2_NA1_pct,p2_NA2_pct,p2_Mus_pct,p2_EA_pct,p2_passQC,expected_Vv_pct,expected_NA1_pct,expected_NA2_pct,expected_Mus_pct,expected_EA_pct,mean_abs_deviation_pp,max_abs_deviation_pp,ancestry_consistency_score,support_category,existing_marker_support,child_match_methods,p1_match_methods,p2_match_methods,min_confirming_methods,child_ambiguous,p1_ambiguous,p2_ambiguous
WACHEPA,LADY WASHINGTON,BETA,14502,BLANC,VITIS INTERSPECIFIC CROSSING,,18.7,45.1,36.1,0.0,0.0,True,9.0,18.1,5.1,28.2,39.7,False,29.9,0.0,70.1,0.0,0.0,True,19.45,9.05,37.6,14.1,19.85,14.45,36.05,0.8555,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,True
WECOTA,LADY WASHINGTON,BETA,14503,BLANC,VITIS INTERSPECIFIC CROSSING,,16.4,51.8,31.8,0.0,0.0,True,9.0,18.1,5.1,28.2,39.7,False,29.9,0.0,70.1,0.0,0.0,True,19.45,9.05,37.6,14.1,19.85,17.11,42.75,0.8289,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,True
DELICATESSEN,R.W. MUNSON,DELICIOUS,14843,NOIR,VITIS INTERSPECIFIC CROSSING,,31.8,24.0,44.1,0.0,0.0,True,34.9,1.1,64.1,0.0,0.0,True,62.7,24.7,12.6,0.0,0.0,True,48.8,12.9,38.35,0.0,0.0,6.77,17.0,0.9323,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,True
FLORA,SEMILLON,GEWUERZTRAMINER,15218,ROSE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M5_fuzzy(r=0.966),1,True,False,False
GASCONADE,CAPTAIN,TERRET BLANC,15219,NOIR,VITIS INTERSPECIFIC CROSSING,,55.9,15.4,28.7,0.0,0.0,True,20.3,21.8,57.8,0.1,0.0,True,99.8,0.2,0.0,0.0,0.0,True,60.05,11.0,28.9,0.05,0.0,1.76,4.4,0.9824,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
ILLINOIS 796- 4,MUNSON,VICTORIA'S CHOICE,15376,NOIR,VITIS INTERSPECIFIC CROSSING,,28.8,38.5,32.0,0.1,0.6,True,24.9,19.0,56.1,0.0,0.0,True,0.0,0.0,100.0,0.0,0.0,True,12.45,9.5,78.05,0.0,0.0,18.42,46.05,0.8158,weak,ancestry_only,M5_fuzzy(r=0.938),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
GREEN MOUNTAIN,NIAGARA,DELAWARE,15705,BLANC,VITIS INTERSPECIFIC CROSSING,,38.9,0.5,60.6,0.0,0.0,True,50.3,0.5,49.2,0.0,0.0,True,46.1,24.9,29.0,0.0,0.0,True,48.2,12.7,39.1,0.0,0.0,8.6,21.5,0.914,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
VINELAND 64237,VINCENT,DE CHAUNAC,15917,NOIR,VITIS INTERSPECIFIC CROSSING,,47.4,36.1,16.4,0.2,0.0,True,50.0,0.0,50.0,0.0,0.0,True,2.7,49.2,47.0,0.4,0.7,True,26.35,24.6,48.5,0.2,0.35,13.0,32.1,0.87,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
GARANOIR,GAMAY NOIR,REICHENSTEINER,16870,NOIR,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M2_alias,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
FLORILUSH,DOG RIDGE,TAMPA,16887,NOIR,VITIS INTERSPECIFIC CROSSING,,100.0,0.0,0.0,0.0,0.0,True,0.0,49.4,50.6,0.0,0.0,True,24.2,0.0,75.8,0.0,0.0,True,12.1,24.7,63.2,0.0,0.0,35.16,87.9,0.6484,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M5_fuzzy(r=0.941),M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
NESBITT,FRY,COWART,16905,NOIR,MUSCADINIA ROTUNDIFOLIA MICHAUX VAR. ROTUNDIFOLIA,view,0.0,0.0,0.0,100.0,0.0,True,0.3,0.0,0.0,99.7,0.0,True,0.0,0.0,0.0,100.0,0.0,True,0.15,0.0,0.0,99.85,0.0,0.06,0.15,0.9994,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
MISSBLUE,DOG RIDGE,MOORE EARLY,16926,NOIR,VITIS INTERSPECIFIC CROSSING,,62.0,4.1,33.4,0.3,0.1,True,0.0,49.4,50.6,0.0,0.0,True,50.0,0.5,49.5,0.0,0.0,True,25.0,24.95,50.05,0.0,0.0,14.98,37.0,0.8502,weak,ancestry_only,M5_fuzzy(r=0.941),M5_fuzzy(r=0.941),M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
RUBAIYAT,SEIBEL 5437,BAILEY,16927,NOIR,VITIS INTERSPECIFIC CROSSING,,49.0,15.3,35.7,0.0,0.0,True,57.5,26.8,15.7,0.0,0.0,True,38.6,1.5,59.9,0.0,0.0,True,48.05,14.15,37.8,0.0,0.0,0.84,2.1,0.9916,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
SEIBEL 874,SEIBEL 2,GANZIN 1,18114,NOIR,VITIS INTERSPECIFIC CROSSING,,34.2,0.0,65.8,0.0,0.0,True,48.4,0.0,51.6,0.0,0.0,True,50.0,49.9,0.0,0.1,0.0,True,49.2,24.95,25.8,0.05,0.0,16.0,40.0,0.84,weak,ancestry_only,M5_fuzzy(r=0.952),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
WETONKA,SALEM,BETA,19001,NOIR,VITIS INTERSPECIFIC CROSSING,,9.0,19.3,6.4,29.6,35.6,False,50.3,0.0,49.7,0.0,0.0,True,29.9,0.0,70.1,0.0,0.0,True,40.1,0.0,59.9,0.0,0.0,33.82,53.5,0.6618,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,True
HELENA,ITALIA,RUBY SEEDLESS,22306,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,True,False,False
BLANCA NIEVE,ITALIA,AURELIA,22533,,VITIS INTERSPECIFIC CROSSING,,0.0,100.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,79.2,18.7,1.7,0.0,0.4,True,89.6,9.35,0.85,0.0,0.2,36.26,90.65,0.6374,conflicting,ancestry_only,M5_fuzzy(r=0.960),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
TRIPLETT 30- 47,RUBY CABERNET,CALZIN,25467,NOIR,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,ancestry_only,M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,2,False,False,False
TRIPLETT 158- 8 B,COLOMBARD,CHENIN BLANC,25482,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,ancestry_only,M5_fuzzy(r=0.938),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
TRIPLETT 181- 7 A,COLOMBARD,MALVASIA BIANCA,25483,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,ancestry_only,M5_fuzzy(r=0.938),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
TRIPLETT T 34- 1,CLAIRETTE BLANCHE,COLOMBARD,25484,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,100.0,0.0,0.0,0.0,0.0,True,99.7,0.0,0.0,0.3,0.0,True,100.0,0.0,0.0,0.0,0.0,True,99.85,0.0,0.0,0.15,0.0,0.06,0.15,0.9994,strong,ancestry_only,M5_fuzzy(r=0.933),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
TRIPLETT T 182- 4,MALVASIA BIANCA,COLOMBARD,25486,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,99.9,0.0,0.0,0.0,0.1,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.04,0.1,0.9996,strong,ancestry_only,M5_fuzzy(r=0.938),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
