child,parent1,parent2,vivc_number,vivc_color,vivc_species,vivc_pedigree_confirmed_markers,child_Vv_pct,child_NA1_pct,child_NA2_pct,child_Mus_pct,child_EA_pct,child_passQC,p1_Vv_pct,p1_NA1_pct,p1_NA2_pct,p1_Mus_pct,p1_EA_pct,p1_passQC,p2_Vv_pct,p2_NA1_pct,p2_NA2_pct,p2_Mus_pct,p2_EA_pct,p2_passQC,expected_Vv_pct,expected_NA1_pct,expected_NA2_pct,expected_Mus_pct,expected_EA_pct,mean_abs_deviation_pp,max_abs_deviation_pp,ancestry_consistency_score,support_category,existing_marker_support,child_match_methods,p1_match_methods,p2_match_methods,min_confirming_methods,child_ambiguous,p1_ambiguous,p2_ambiguous
DELIZIA DI VAPRIO,SICILIEN,MUSCAT OF ALEXANDRIA,3510,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
DIAMOND,CONCORD,IONA,3545,BLANC,VITIS INTERSPECIFIC CROSSING,view,43.1,0.0,56.9,0.0,0.0,True,28.4,0.0,71.6,0.0,0.0,True,0.0,99.5,0.5,0.0,0.0,True,14.2,49.75,36.05,0.0,0.0,19.9,49.75,0.801,weak,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
DIXIE,SAN JACINTO,BRILLIANT,3592,BLANC,VITIS INTERGENERIC CROSSING,,0.0,0.0,0.0,100.0,0.0,True,0.0,0.0,0.0,99.8,0.2,True,50.6,0.0,49.4,0.0,0.0,True,25.3,0.0,24.7,49.9,0.1,20.04,50.1,0.7996,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,True,False,False
DUNKIRK,BRIGHTON,IONA,3725,ROUGE,VITIS INTERSPECIFIC CROSSING,,57.3,0.0,42.7,0.0,0.0,True,50.8,0.0,49.1,0.0,0.1,True,0.0,99.5,0.5,0.0,0.0,True,25.4,49.75,24.8,0.0,0.05,19.92,49.75,0.8008,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
ELEVEN POINT,CAPTAIN,TERRET BLANC,3872,NOIR,VITIS INTERSPECIFIC CROSSING,,59.2,8.2,32.7,0.0,0.0,True,20.3,21.8,57.8,0.1,0.0,True,99.8,0.2,0.0,0.0,0.0,True,60.05,11.0,28.9,0.05,0.0,1.5,3.8,0.985,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
EMPIRE STATE,HARTFORD,CLINTON,3908,BLANC,VITIS INTERSPECIFIC CROSSING,,47.1,1.6,51.3,0.0,0.0,True,18.2,15.2,3.6,29.7,33.3,False,22.8,50.2,26.9,0.0,0.0,True,20.5,32.7,15.25,14.85,16.65,25.05,36.05,0.7495,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
EONA,LADY WASHINGTON,BETA,3918,BLANC,VITIS INTERSPECIFIC CROSSING,,17.4,49.0,33.6,0.0,0.0,True,9.0,18.1,5.1,28.2,39.7,False,29.9,0.0,70.1,0.0,0.0,True,19.45,9.05,37.6,14.1,19.85,15.99,39.95,0.8401,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,True
EZERFUERTUE,HARSLEVELUE,GEWUERZTRAMINER,4026,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,ancestry_only,M5_fuzzy(r=0.952),M5_fuzzy(r=0.952),M5_fuzzy(r=0.966),1,False,False,False
FOSTER'S WHITE SEEDLING,BLACK MOROCCO,SCHIAVA GROSSA,4204,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
GOLDEN MUSCAT,MUSCAT HAMBURG,DIAMOND,4881,BLANC,VITIS INTERSPECIFIC CROSSING,view,50.0,50.0,0.0,0.0,0.0,True,99.9,0.0,0.0,0.0,0.1,True,43.1,0.0,56.9,0.0,0.0,True,71.5,0.0,28.45,0.0,0.05,20.0,50.0,0.8,weak,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
