show_rows_5102550100250500_1,show_rows_5102550100250500_2,show_rows_5102550100250500_3,show_rows_5102550100250500_4,show_rows_5102550100250500_5,show_rows_5102550100250500_6,show_rows_5102550100250500_7,show_rows_5102550100250500_8,show_rows_5102550100250500_9,show_rows_5102550100250500_10,show_rows_5102550100250500_11,show_rows_5102550100250500_12,page_scraped,source_url
ABLA AGANYN IZYUM,BLANC,20,WINE GRAPETABLE GRAPE,UKRAINE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABLAK BEYAZ,ROSE,21,TABLE GRAPE,TURKEY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABLAK SIYAH,NOIR,22,TABLE GRAPE,TURKEY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABONDANCE,NOIR,23,WINE GRAPE,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,HEUNISCH WEISS,?,view,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABONDANT,BLANC,24,WINE GRAPETABLE GRAPE,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,KOEVIDINKA,MADELEINE ROYALE,view,"Wanner, A.G.",,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABORIETRAUBE,BLANC,25,WINE GRAPE,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABOQUEL BLANCO,BLANC,26,TABLE GRAPE,SPAIN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABOQUEL NEGRO,NOIR,27,WINE GRAPE,SPAIN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABRAHAM BELANE,NOIR,28,,,,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABRAJATO BIANCO,BLANC,29,,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
